semilla	corte	gan
537547	3775	16130000
632087	3801	15758000
284747	4100	15960000
101653	3803	15994000
253789	3656	15888000
763417	3854	16132000
779771	3767	15986000
375899	3578	15644000
451201	3684	15992000
262349	3337	16206000
455737	3556	15928000
302483	3549	15782000
368803	3949	15942000
440987	3727	15906000
595807	3743	15794000
884489	4064	16032000
148021	4163	15834000
626617	3900	16040000
172049	3814	15812000
968467	4222	15956000
543853	4655	16050000
501971	3350	15860000
699241	3526	16388000
215183	3536	16208000
337327	2979	15962000
299567	3460	16200000
766477	3941	15878000
639143	3790	16260000
637729	3776	16048000
583153	3365	16150000
350593	3658	16044000
778123	3139	16122000
816547	4846	15908000
142211	3897	15966000
632939	3815	15970000
285517	3933	16054000
166157	4108	16104000
554569	4031	15858000
838459	4082	15996000
324983	3764	16152000
464033	4045	15830000
670139	4051	15898000
529957	3392	15776000
558913	4143	15634000
222347	3900	16040000
288313	3795	15850000
190829	3550	15620000
624737	3028	16024000
489817	4050	15500000
850181	3663	16034000
