semilla	corte	gan
537547	4567	17266000
632087	4552	17056000
284747	5879	16802000
101653	6197	17046000
253789	5075	17050000
763417	4917	17206000
779771	4453	17174000
375899	5148	17224000
451201	4447	17026000
262349	5355	17050000
455737	5727	17026000
302483	4962	17116000
368803	5429	16822000
440987	4936	17168000
595807	5790	17220000
884489	4948	16904000
148021	5153	17214000
626617	6259	17002000
172049	6124	16952000
968467	5242	16956000
543853	5099	17122000
501971	5345	17310000
699241	5779	16922000
215183	5072	17056000
337327	5314	17052000
299567	5121	16798000
766477	5686	17188000
639143	4776	17088000
637729	5104	17232000
583153	5350	17060000
350593	5320	16960000
778123	5477	17126000
816547	5227	17066000
142211	6448	16864000
632939	5617	17246000
285517	4122	17036000
166157	5501	16918000
554569	4850	16940000
838459	5042	16956000
324983	5287	16946000
464033	5470	17060000
670139	5645	17110000
529957	5169	17182000
558913	5848	16944000
222347	5413	17254000
288313	5341	16998000
190829	5367	17026000
624737	4883	17194000
489817	5703	17234000
850181	5480	17120000
