fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221014 215815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2412	TRUE	273107	0.00516964156491952	0.284292278143997	9	1024	5109	18270000	58
20221014 220212	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	401	TRUE	273107	0.0208746007952298	0.200316311344049	4	891	5000	18160000	59
20221014 220739	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	466	TRUE	273107	0.00542792231259778	0.201738707314694	373	530	5002	18320000	60
20221014 221600	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	655	TRUE	273107	0.00500413185382726	0.257718954545163	248	594	5665	18110000	61
20221014 221625	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	52	TRUE	273107	0.150952668614205	0.251650337385878	7995	774	5006	17030000	62
20221014 221707	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	273107	0.0501961267687715	0.885062544265727	4293	515	5035	17850000	63
20221014 221751	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	273107	0.0999108788381528	0.999955890005752	976	230	5007	17830000	64
20221014 221930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	138	TRUE	273107	0.0254815265311001	0.59517896439801	926	218	5002	17840000	65
20221014 222150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	438	TRUE	273107	0.0109156042356826	0.200026336081175	4602	187	5001	17680000	66
20221014 222912	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	535	TRUE	273107	0.0141962435214047	0.456033037238941	3	1005	5000	17600000	67
20221014 223619	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1114	TRUE	273107	0.00500367208641351	0.271092534611755	969	480	5003	18320000	68
20221014 223711	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	167	TRUE	273107	0.0708476420580336	0.243201074329018	17	65	5003	16880000	69
20221014 224339	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	541	TRUE	273107	0.00516374676689877	0.261461910232565	104	256	5001	18240000	70
