fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221015 032846	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	86	TRUE	273107	0.142476255418849	0.317750079082325	1945	262	13358	24330000	1
20221015 032919	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	49	TRUE	273107	0.206362413123774	0.448550727367401	2885	653	10536	26050000	2
20221015 032941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	273107	0.17248655334377	0.818160640420392	4869	440	13641	25200000	3
20221015 033137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	287	TRUE	273107	0.0211240646153456	0.97559691125527	4086	547	8082	27120000	4
20221015 033417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	197	TRUE	273107	0.0136938532690401	0.503581146085635	1379	615	11383	2.7e+07	5
20221015 033449	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	273107	0.214533003222197	0.527983010681346	903	305	8771	24860000	6
20221015 033520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	82	TRUE	273107	0.12064580565918	0.624065589839593	3573	366	6732	26940000	7
20221015 033544	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	71	TRUE	273107	0.15276772803854	0.900564268222079	6757	158	5745	26110000	8
20221015 033611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	273107	0.13628625518945	0.250774950264022	4401	725	9908	26350000	9
20221015 033634	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	28	TRUE	273107	0.196550773478346	0.95685033663176	2544	482	10325	27190000	10
20221015 033655	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	273107	0.270862956738332	0.674412325844169	5830	699	5429	25310000	11
20221015 033825	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	273107	0.0777844321966986	0.771895386688411	381	965	11725	25830000	12
20221015 033929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	167	TRUE	273107	0.0540181293907808	0.378126389486715	3683	418	12744	26120000	13
20221015 034016	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	141	TRUE	273107	0.0452569217823911	0.843279419522733	5237	798	14967	24790000	14
20221015 034046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	67	TRUE	273107	0.296854883372027	0.569308044202626	6256	29	14350	24500000	15
20221015 034110	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	273107	0.262418942265969	0.345491285817698	2151	831	7867	24990000	16
20221015 034154	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	130	TRUE	273107	0.104209943361522	0.406572702107951	7566	987	6193	26740000	17
20221015 034215	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	273107	0.226666450422897	0.234113094275817	7651	105	7417	26530000	18
20221015 034309	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	273107	0.0838574349473347	0.746913334382698	615	197	9421	26760000	19
20221015 034324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	24	TRUE	273107	0.246153307676432	0.692100081518292	6812	918	12040	25600000	20
20221015 034436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	217	TRUE	273107	0.032829918267505	0.812304257614315	3754	330	10300	26600000	21
20221015 034744	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	477	TRUE	273107	0.0331319229935927	0.552854772574245	3836	532	7654	27660000	22
20221015 035859	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2264	TRUE	273107	0.00546035744431907	0.412628586978388	3199	549	8329	27350000	23
20221015 040011	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	180	TRUE	273107	0.0492319860256682	0.475632461776456	5712	175	7498	27010000	24
20221015 040329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	580	TRUE	273107	0.0227421793548552	0.626462335765839	2387	760	7233	27700000	25
20221015 040435	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142	TRUE	273107	0.0389413939071001	0.603666171591729	3145	991	7807	27030000	26
20221015 041203	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1356	TRUE	273107	0.00748811534689477	0.592888552963788	2535	517	7104	27560000	27
20221015 041725	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	596	TRUE	273107	0.027397999958788	0.565697929373025	425	578	7390	26980000	28
20221015 041800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	273107	0.0795297142295476	0.999824763362718	2033	531	5540	26120000	29
20221015 042004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	407	TRUE	273107	0.0149051387591882	0.639971958294034	4819	688	7170	26780000	30
20221015 042150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	338	TRUE	273107	0.0324552945771849	0.616807634279667	2357	541	8034	27540000	31
20221015 043159	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1962	TRUE	273107	0.0065188562149632	0.486230755459354	3908	630	5718	26650000	32
20221015 043325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	174	TRUE	273107	0.0349411715829048	0.453538408827578	3222	401	7292	27340000	33
20221015 043730	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	666	TRUE	273107	0.0177685756476124	0.732555029437027	1993	580	7433	27860000	34
20221015 043955	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	446	TRUE	273107	0.0215248402197119	0.584363591043932	3815	18	7818	27010000	35
20221015 044934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1171	TRUE	273107	0.00595983033712656	0.438603609977785	1882	670	7538	28210000	36
20221015 045628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1315	TRUE	273107	0.00505598267549121	0.202470481393902	1791	722	7527	27750000	37
20221015 050451	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1001	TRUE	273107	0.00500389082652509	0.476450280813689	1625	680	9062	27800000	38
20221015 051132	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	909	TRUE	273107	0.00523122397533456	0.998405378187177	1622	762	9493	27340000	39
20221015 051215	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	109	TRUE	273107	0.102636418991328	0.442591463168921	7381	510	8395	26730000	40
20221015 051259	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	107	TRUE	273107	0.0851830151440153	0.358063661732019	4302	499	7626	27150000	41
20221015 051324	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	273107	0.160208786139403	0.99974124469922	3974	355	9296	26930000	42
20221015 052713	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1619	TRUE	273107	0.00502984720650187	0.517514763225412	1717	776	7654	28300000	43
20221015 053657	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1300	TRUE	273107	0.00516805823647739	0.499545363971108	1675	960	7519	27930000	44
20221015 054736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1919	TRUE	273107	0.00502658695830028	0.625946756307052	1477	415	7959	27690000	45
20221015 060150	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2394	TRUE	273107	0.00520092456761865	0.520061099193315	1837	721	7679	27930000	46
20221015 061248	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1810	TRUE	273107	0.00503380362641398	0.419363015956745	1861	810	7499	27890000	47
20221015 062136	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	321	TRUE	273107	0.00500886215336027	0.498237936526755	351	777	7898	27170000	48
20221015 062500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	480	TRUE	273107	0.0148128216423421	0.43091165728042	1707	597	5099	25410000	49
20221015 063436	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1780	TRUE	273107	0.00504664553136884	0.696091174334977	1646	649	7684	27840000	50
20221015 064611	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2002	TRUE	273107	0.00519679969047332	0.493154469985218	2751	772	8111	27700000	51
20221015 064943	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	710	TRUE	273107	0.0157588450545411	0.962769118573435	1999	438	7693	27980000	52
20221015 065950	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2171	TRUE	273107	0.0053521252056905	0.966367744269402	1962	135	7206	27670000	53
