fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221014 151800	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	273107	0.142476255418849	0.317750079082325	1945	262	13358	9130000	1
20221014 151831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	44	TRUE	273107	0.206362413123774	0.448550727367401	2885	653	10536	12290000	2
20221014 151845	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	273107	0.17248655334377	0.818160640420392	4869	440	13641	8080000	3
20221014 151954	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	178	TRUE	273107	0.0211240646153456	0.97559691125527	4086	547	8082	15520000	4
20221014 152421	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	739	TRUE	273107	0.0136938532690401	0.503581146085635	1379	615	11383	12280000	5
20221014 152444	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	16	TRUE	273107	0.214533003222197	0.527983010681346	903	305	8771	14140000	6
20221014 152508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	273107	0.12064580565918	0.624065589839593	3573	366	6732	16460000	7
20221014 152527	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	41	TRUE	273107	0.15276772803854	0.900564268222079	6757	158	5745	16910000	8
20221014 152556	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	273107	0.13628625518945	0.250774950264022	4401	725	9908	13390000	9
20221014 152624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	118	TRUE	273107	0.196550773478346	0.95685033663176	2544	482	10325	13030000	10
20221014 152644	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	57	TRUE	273107	0.270862956738332	0.674412325844169	5830	699	5429	17310000	11
20221014 152743	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	273107	0.0777844321966986	0.771895386688411	381	965	11725	11270000	12
20221014 152851	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	204	TRUE	273107	0.0540181293907808	0.378126389486715	3683	418	12744	9800000	13
20221014 152928	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	273107	0.0452569217823911	0.843279419522733	5237	798	14967	6390000	14
20221014 152949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	273107	0.296854883372027	0.569308044202626	6256	29	14350	7460000	15
20221014 153006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	15	TRUE	273107	0.262418942265969	0.345491285817698	2151	831	7867	15150000	16
20221014 153054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	172	TRUE	273107	0.104209943361522	0.406572702107951	7566	987	6193	16500000	17
20221014 153119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	273107	0.226666450422897	0.234113094275817	7651	105	7417	16050000	18
20221014 153209	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	97	TRUE	273107	0.0838574349473347	0.746913334382698	615	197	9421	1.5e+07	19
20221014 153223	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	273107	0.246153307676432	0.692100081518292	6812	918	12040	10480000	20
20221014 153242	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	273107	0.298950618513707	0.203366026738345	7569	639	5002	16960000	21
20221014 153258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	273107	0.299599469858735	0.798543733192632	8000	857	5001	17600000	22
20221014 153313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	273107	0.299470083801967	0.834407682532708	7985	765	5958	16730000	23
20221014 153333	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	42	TRUE	273107	0.138417924466606	0.820337965048109	2512	966	5000	17520000	24
20221014 153747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	758	TRUE	273107	0.00549296818894347	0.704438217061665	2288	27	5001	1.8e+07	25
20221014 154735	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1949	TRUE	273107	0.00576081820560918	0.200617660996004	1124	66	5000	18240000	26
20221014 154921	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	398	TRUE	273107	0.0231095471207954	0.267718985185178	5558	32	5004	17360000	27
20221014 170901	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1946	TRUE	273107	0.00549600154680294	0.213070421129964	6850	22	5005	17190000	28
20221014 172542	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2341	TRUE	273107	0.00846577211039164	0.375251099058779	2	141	5004	18320000	29
20221014 172635	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	273107	0.0666177941741786	0.285392806030129	28	64	5000	16720000	30
20221014 173521	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1585	TRUE	273107	0.00504643848199585	0.372036465811241	1311	384	5000	18160000	31
20221014 175714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7	TRUE	273107	0.106586457309362	0.293017745034528	4	16	5007	14550000	32
20221014 180233	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	879	TRUE	273107	0.00500793812111181	0.202123130747486	1365	412	5005	17750000	33
20221014 182900	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	4675	TRUE	273107	0.00516122823872643	0.990945082865309	95	222	5028	18030000	34
20221014 182920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	273107	0.214764545921781	0.838233152532585	6335	1023	5004	17200000	35
20221014 183721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	958	TRUE	273107	0.00514268429946883	0.537294436260767	928	185	5010	17980000	36
20221014 184607	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2034	TRUE	273107	0.00501649185306829	0.224370759014021	0	84	6333	17420000	37
20221014 184942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	829	TRUE	273107	0.0136961138643429	0.338197392643524	3615	1022	5000	17920000	38
20221014 185018	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	149	TRUE	273107	0.069448330745	0.998487804800055	3926	869	5000	17680000	39
