fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221015 031633	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	35	TRUE	273107	0.142476255418849	0.317750079082325	1945	262	13358	23530000	1
20221015 031715	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	37	TRUE	273107	0.206362413123774	0.448550727367401	2885	653	10536	25570000	2
20221015 031741	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	273107	0.17248655334377	0.818160640420392	4869	440	13641	23200000	3
20221015 032058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	620	TRUE	273107	0.0211240646153456	0.97559691125527	4086	547	8082	27200000	4
20221015 032755	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	879	TRUE	273107	0.0136938532690401	0.503581146085635	1379	615	11383	2.7e+07	5
20221015 032843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	273107	0.214533003222197	0.527983010681346	903	305	8771	24860000	6
20221015 032920	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	273107	0.12064580565918	0.624065589839593	3573	366	6732	26220000	7
20221015 032942	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	64	TRUE	273107	0.15276772803854	0.900564268222079	6757	158	5745	25950000	8
20221015 033044	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	162	TRUE	273107	0.13628625518945	0.250774950264022	4401	725	9908	26110000	9
20221015 033105	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	32	TRUE	273107	0.196550773478346	0.95685033663176	2544	482	10325	25830000	10
20221015 033123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	23	TRUE	273107	0.270862956738332	0.674412325844169	5830	699	5429	24270000	11
20221015 033235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	70	TRUE	273107	0.0777844321966986	0.771895386688411	381	965	11725	25910000	12
20221015 033329	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	94	TRUE	273107	0.0540181293907808	0.378126389486715	3683	418	12744	2.5e+07	13
20221015 033412	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121	TRUE	273107	0.0452569217823911	0.843279419522733	5237	798	14967	22630000	14
20221015 033438	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	273107	0.296854883372027	0.569308044202626	6256	29	14350	23140000	15
20221015 033509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	63	TRUE	273107	0.262418942265969	0.345491285817698	2151	831	7867	25470000	16
20221015 033547	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	80	TRUE	273107	0.104209943361522	0.406572702107951	7566	987	6193	25700000	17
20221015 033627	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	144	TRUE	273107	0.226666450422897	0.234113094275817	7651	105	7417	25810000	18
20221015 033821	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	266	TRUE	273107	0.0838574349473347	0.746913334382698	615	197	9421	27160000	19
20221015 033839	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	273107	0.246153307676432	0.692100081518292	6812	918	12040	24800000	20
20221015 034714	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1097	TRUE	273107	0.00593044411518142	0.832447846016785	1582	405	9814	27500000	21
20221015 035006	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	752	TRUE	273107	0.0244007880960906	0.911063075653811	3457	99	9365	27110000	22
20221015 035420	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	491	TRUE	273107	0.0292371599730208	0.745897614601964	514	584	9455	27490000	23
20221015 035737	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	273107	0.0335901456562537	0.916119894160769	7	468	10246	25670000	24
20221015 040448	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1570	TRUE	273107	0.00556318602834297	0.714685271359992	3085	459	9645	27190000	25
20221015 041347	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1145	TRUE	273107	0.00592931803170962	0.81832396198454	1860	588	9252	27580000	26
20221015 041746	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	690	TRUE	273107	0.0131424275242421	0.814111218632303	1489	550	9534	27580000	27
20221015 042532	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	770	TRUE	273107	0.00501782613042979	0.835738920889769	904	348	8361	27120000	28
20221015 043307	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2072	TRUE	273107	0.00561262168161845	0.883824797374999	5295	312	7356	27450000	29
20221015 043539	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	433	TRUE	273107	0.0174429717130468	0.897176219507073	2227	729	7390	27220000	30
20221015 043733	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	557	TRUE	273107	0.0263645410364171	0.839827364081052	7179	722	7719	27370000	31
20221015 043811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	156	TRUE	273107	0.110832805321368	0.927358960049743	6476	389	7501	27400000	32
20221015 044504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	856	TRUE	273107	0.00540470098429699	0.772701789621115	1249	889	9731	27340000	33
20221015 044803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	855	TRUE	273107	0.0148306399613041	0.962978576640309	7838	637	7100	26760000	34
20221015 044849	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	148	TRUE	273107	0.061717580792259	0.853597921920206	4352	413	7719	27050000	35
20221015 045558	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2052	TRUE	273107	0.00503418822557108	0.897987650641543	7545	408	8475	27050000	36
20221015 050504	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	855	TRUE	273107	0.00525260261789576	0.802506513413807	1084	310	9427	27630000	37
20221015 051137	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	591	TRUE	273107	0.00568060060684041	0.986224381823092	898	610	9316	27130000	38
20221015 051945	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2393	TRUE	273107	0.00520540469403216	0.94803044140595	7041	18	7552	27220000	39
20221015 053842	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2032	TRUE	273107	0.00502446708529755	0.821267323438867	420	481	9325	27590000	40
20221015 054103	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	585	TRUE	273107	0.0180039640788744	0.89662622708622	5976	1024	8147	27630000	41
20221015 054313	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	540	TRUE	273107	0.0177732690529078	0.905253525783814	6047	1023	7538	27250000	42
20221015 054351	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	273107	0.130641376008392	0.901483615888014	7177	1022	8154	26980000	43
20221015 055400	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2372	TRUE	273107	0.00501756350178795	0.83829472962299	5836	900	8199	27770000	44
20221015 060250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2499	TRUE	273107	0.00504088494692519	0.759175338860634	5863	1021	8158	27610000	45
20221015 060903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1384	TRUE	273107	0.00503205230822797	0.850360885062902	5184	969	8415	27330000	46
20221015 061341	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	908	TRUE	273107	0.0094843100357821	0.200434780513784	2300	883	11480	26320000	47
20221015 061401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	273107	0.270941450449523	0.943392963390825	6306	30	7272	26340000	48
