semilla	corte	gan
537547	7921	19998000
632087	7720	19840000
284747	9270	19860000
101653	7565	20230000
253789	8212	20056000
763417	7249	19982000
779771	7884	19912000
375899	10112	19936000
451201	7972	20536000
262349	7823	19874000
455737	6502	19876000
302483	6977	19886000
368803	7565	19990000
440987	7490	20380000
595807	7345	20270000
884489	8981	19878000
148021	9594	19932000
626617	8335	20050000
172049	10600	20080000
968467	10465	19950000
543853	8987	20346000
501971	10602	19996000
699241	6662	20436000
215183	7724	19992000
337327	9827	20026000
299567	9551	20098000
766477	8262	20276000
639143	7046	20068000
637729	11081	20238000
583153	7991	20138000
350593	8058	20044000
778123	9651	19898000
816547	7278	20004000
142211	6131	20138000
632939	7076	19928000
285517	7404	19992000
166157	7709	20102000
554569	7646	20308000
838459	6649	19822000
324983	9978	19964000
464033	7400	2e+07
670139	9477	20046000
529957	7058	20204000
558913	8984	20032000
222347	9012	19736000
288313	7787	19866000
190829	7807	19586000
624737	7596	20408000
489817	7348	20184000
850181	8804	19992000
