fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221015 050053	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	550	TRUE	273107	0.00517143280751085	0.321620174295179	1099	526	13920	24560000	33
20221015 050509	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	545	TRUE	273107	0.00988864126639648	0.21846352385506	787	332	10525	26950000	34
20221015 051117	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	623	TRUE	273107	0.00949948019217634	0.498910441874242	2133	612	9570	27100000	35
20221015 051804	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1000	TRUE	273107	0.00848113755149665	0.487097015823299	3554	612	10462	26680000	36
20221015 051930	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	128	TRUE	273107	0.0415577056022304	0.49045129663332	1362	612	9641	26640000	37
20221015 053046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1491	TRUE	273107	0.00500129815586198	0.494204839608749	1598	300	10665	26910000	38
20221015 054706	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2503	TRUE	273107	0.00508340651442426	0.493847146522138	5404	619	9330	27340000	39
20221015 055512	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1311	TRUE	273107	0.00602820807727531	0.421245293975166	6668	516	9697	27010000	40
20221015 060355	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1494	TRUE	273107	0.00540671460959697	0.586030846062707	6257	780	9392	26900000	41
20221015 061551	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2057	TRUE	273107	0.0050428552367084	0.469580676817941	4982	945	9461	27320000	42
20221015 062325	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	981	TRUE	273107	0.00522253372474272	0.442431982578724	4889	681	9218	26690000	43
20221015 062624	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	325	TRUE	273107	0.0130944602390501	0.502044276264391	5575	1000	9903	26680000	44
20221015 063229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	668	TRUE	273107	0.00599380488935262	0.514770711884998	6925	598	9563	26560000	45
20221015 064055	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1485	TRUE	273107	0.00708486755935755	0.472438619281934	6112	607	8998	27210000	46
20221015 065057	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1516	TRUE	273107	0.00529563750578679	0.484240714276151	5038	693	8507	26670000	47
20221015 065844	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1132	TRUE	273107	0.00574337753806733	0.467213558671507	5731	627	10035	26970000	48
20221015 070724	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	881	TRUE	273107	0.00516260060559645	0.216525166986879	398	654	12163	26160000	49
20221015 071723	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2644	TRUE	273107	0.0053060640546881	0.643873977510145	4245	920	9361	27280000	50
20221015 072502	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1367	TRUE	273107	0.0102955000797567	0.501880361504963	5563	510	9156	27290000	51
20221015 073510	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1346	TRUE	273107	0.00507999891738164	0.497829221640807	2615	997	9528	26870000	52
20221015 074257	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1879	TRUE	273107	0.00502759455614252	0.663406683406094	5232	537	9338	27090000	53
20221015 075046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1140	TRUE	273107	0.00550778861789846	0.677140930431675	2502	628	9489	27430000	54
20221015 075726	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1157	TRUE	273107	0.00519315981878819	0.783341972257549	2943	630	9254	26700000	55
