fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20221014 151642	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	98	TRUE	273107	0.142476255418849	0.317750079082325	1945	262	13358	8490000	1
20221014 151727	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	273107	0.206362413123774	0.448550727367401	2885	653	10536	11810000	2
20221014 151747	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	72	TRUE	273107	0.17248655334377	0.818160640420392	4869	440	13641	7520000	3
20221014 151903	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	273107	0.0211240646153456	0.97559691125527	4086	547	8082	15200000	4
20221014 152206	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	412	TRUE	273107	0.0136938532690401	0.503581146085635	1379	615	11383	12040000	5
20221014 152230	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	18	TRUE	273107	0.214533003222197	0.527983010681346	903	305	8771	13580000	6
20221014 152258	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	60	TRUE	273107	0.12064580565918	0.624065589839593	3573	366	6732	16380000	7
20221014 152328	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	273107	0.15276772803854	0.900564268222079	6757	158	5745	16350000	8
20221014 152401	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	145	TRUE	273107	0.13628625518945	0.250774950264022	4401	725	9908	12990000	9
20221014 152415	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	14	TRUE	273107	0.196550773478346	0.95685033663176	2544	482	10325	12310000	10
20221014 152433	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	33	TRUE	273107	0.270862956738332	0.674412325844169	5830	699	5429	16510000	11
20221014 152518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	36	TRUE	273107	0.0777844321966986	0.771895386688411	381	965	11725	11270000	12
20221014 152555	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	73	TRUE	273107	0.0540181293907808	0.378126389486715	3683	418	12744	9400000	13
20221014 152638	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	203	TRUE	273107	0.0452569217823911	0.843279419522733	5237	798	14967	5910000	14
