semilla	corte	gan
537547	8057	21326000
632087	8787	21546000
284747	8576	21328000
101653	9073	21534000
253789	9239	21202000
763417	7623	21314000
779771	8135	21450000
375899	8307	21546000
451201	8668	21224000
262349	8719	21362000
455737	8553	21694000
302483	8318	21364000
368803	8000	21600000
440987	8255	21330000
595807	8845	21270000
884489	9128	21424000
148021	8213	21334000
626617	8606	21108000
172049	8979	21402000
968467	8660	21400000
543853	8507	21666000
501971	8988	21304000
699241	8942	21396000
215183	8129	21262000
337327	8718	21604000
299567	8687	21586000
766477	8712	21296000
639143	8314	21452000
637729	8526	21268000
583153	8772	21816000
350593	8299	21242000
778123	8078	22004000
816547	8169	21502000
142211	8931	21258000
632939	8156	21528000
285517	8166	21508000
166157	8469	21542000
554569	8135	21650000
838459	8720	21440000
324983	8887	21186000
464033	8439	21682000
670139	8767	21506000
529957	8360	21360000
558913	8589	21542000
222347	8672	21456000
288313	8129	21182000
190829	8164	21112000
624737	8805	21270000
489817	8546	21388000
850181	8631	21458000
